Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,,globalthis,1.0.4,optional,MIT,,,,pkg:npm/globalthis@1.0.4,,,,,,,,,,,,,,,0e92ca6cd5385b2969c49ca442e8df09cc185a257f2619b9d06a28d30ad520b02fe633abf5df87f944773e14820f6ac2084220d2e73e1be9ae053c03e782610d,,,,,,,,,,
Library,,,,,,define-properties,1.2.1,optional,MIT,,,,pkg:npm/define-properties@1.2.1,,,,,,,,,,,,,,,f109902aa10048b7799f1d14d41d6890b1256d4baeb6d27f0276264576db6c60d687ab92db4f048c3e17aaafc8f702bbbb4bfa3b4f178535a7b795ed11b47a0e,,,,,,,,,,
Library,,,,,,define-data-property,1.1.4,optional,MIT,,,,pkg:npm/define-data-property@1.1.4,,,,,,,,,,,,,,,ac132f23396903cbfa13e489668a3ef87018aac2eb920ecc49f2229cc3c5866928af0ed7f9d39754942cf904faf731a4cccc9f0e720c3765a2775f8d6cbdd3f8,,,,,,,,,,
Library,,,,,,es-define-property,1.0.1,optional,MIT,,,,pkg:npm/es-define-property@1.0.1,,,,,,,,,,,,,,,7b79d17e07d4678acd18bdb7da05205f4e90372c9ecf4e0a76316b17e2d34683979ab3a014a0e0e0109db235bc1274faf5ea9d606991a49c223d560dac2696de,,,,,,,,,,
Library,,,,,,es-errors,1.3.0,optional,MIT,,,,pkg:npm/es-errors@1.3.0,,,,,,,,,,,,,,,65fe47d8ac6ddb18d3bdb26f3f66562c4202c40ea3fa1026333225ca9cb8c5c060d6f2959f1f3d5b2d066d2fa47f9730095145cdd0858765d20853542d2e9cb3,,,,,,,,,,
Library,,,,,,gopd,1.2.0,optional,MIT,,,,pkg:npm/gopd@1.2.0,,,,,,,,,,,,,,,65429187afe4505a0089302d4d83d9277870f70371c7e04804e8a39e51bd3e7ac9b027128ecd70cb20fabc9a5a62d827cc3aca6114aa7f738ee917daf77c6c46,,,,,,,,,,
Library,,,,,,has-property-descriptors,1.0.2,optional,MIT,,,,pkg:npm/has-property-descriptors@1.0.2,,,,,,,,,,,,,,,e7924d2ae216fafab829ed418ce4e333661cb5022f093ec61731f099f64f1a8e709eb82489dd1842d9c095e152aae9999b86b3de7d814be7ab6f2e62a49760ae,,,,,,,,,,
Library,,,,,,object-keys,1.1.1,optional,MIT,,,,pkg:npm/object-keys@1.1.1,,,,,,,,,,,,,,,36e00449439432b9485ce7c72b30fa6e93eeded62ddf1be335d44843e15e4f494d6f82bc591ef409a0f186e360b92d971be1a39323303b3b0de5992d2267e12c,,,,,,,,,,
Library,,,,,,json-stringify-safe,5.0.1,optional,ISC,,,,pkg:npm/json-stringify-safe@5.0.1,,,,,,,,,,,,,,,642960e80698bda9af60413cd9ddc8c9ddef49222343ea1d823693cd1b8edeceeda0274529cce86f68b4cc287b244f245a7d7bcaf016854571bea1b051a96c44,,,,,,,,,,
Library,,,,,,semver-compare,1.0.0,optional,MIT,,,,pkg:npm/semver-compare@1.0.0,,,,,,,,,,,,,,,60cdff213876309e4cb7368ce36f5a9e1fb1da388b563a882c5e26e28c90075f16ec681e6bb05fa9d1ffc0630aedd0e232086fffa586ef39d6330503cc9897a3,,,,,,,,,,
Library,,,,,,sprintf-js,1.1.3,optional,BSD-3-Clause,,,,pkg:npm/sprintf-js@1.1.3,,,,,,,,,,,,,,,3a8fb4444155e7dfebcf781f24d2908819707c7692112975a5c1b200142c9e721f58e16de89363e600a883653a30b67ffc81980fe9c0f2723e9934a144445e68,,,,,,,,,,
Library,,,,,,semver,7.7.3,optional,ISC,,,,pkg:npm/semver@7.7.3,,,,,,,,,,,,,,,49db0a32b23d4dd823770794491f4cc1e1c0e0427c6311e7f0315a0e2b2f85595439ee01175b4b0fb1808f4948a96565f9d3dbfeb131af406d6f2e65a109b6d1,,,,,,,,,,
Library,,,,,,serialize-error,7.0.1,optional,MIT,,,,pkg:npm/serialize-error@7.0.1,,,,,,,,,,,,,,,f08f138d6e4a30e2ac6504efa318ee4886bb7e80303d618eb6cfbaa3bb208f3e35fea303f55407103c62e8f06f2b6974317526a99c8da542be4f6b5069a125bf,,,,,,,,,,
Library,,,,,,type-fest,0.13.1,optional,(MIT OR CC0-1.0),,,,pkg:npm/type-fest@0.13.1,,,,,,,,,,,,,,,df847b1d39c6d172097014a7e5784377b9cd14f45c5d8459ac10763b68dd2aa60e0e5752cc102acec5a865862f76e932ef7b68612fc44aac4fbe40dffc5d1732,,,,,,,,,,
Library,,,,,,onnxruntime-common,1.21.0,optional,MIT,,,,pkg:npm/onnxruntime-common@1.21.0,,,,,,,,,,,,,,,43adf688b2ebb420153933bae5d876fa635b422aff40d4d5046de1fd07590699ecee66744586cb4418060013dba54f77e75020632ed225fd5669e57032b0453d,,,,,,,,,,
Library,,,,,,tar,7.5.2,optional,BlueOak-1.0.0,,,,pkg:npm/tar@7.5.2,,,,,,,,,,,,,,,ecdcb1ad313802787c926f22132ee8d1060fb3ed092814e3e596aa1e0e81dfd7ab2e0d2a6173770628ed4a1c1bb0d4af43e2cdef9f8a57e0b8411fdfe86c27a6,,,,,,,,,,
